title,release_date,overview,vote_average,poster_path
Red One,2024-10-31,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",7.0,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
Moana 2,2024-11-21,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",7.0,/khwDcPYD5xo6B8404mGGe6pYWtI.jpg
Mufasa: The Lion King,2024-12-18,"Told in flashbacks, Mufasa is an orphaned cub, lost and alone until he meets a sympathetic lion named Taka—the heir to a royal bloodline. The chance meeting sets in motion a journey of misfits searching for their destiny and working together to evade a threatening and deadly foe.",6.8,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg
Elevation,2024-11-07,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,6.4,/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg
Absolution,2024-10-31,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",6.128,/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg
Sonic the Hedgehog 3,2024-12-14,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",7.8,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg
Heretic,2024-10-31,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",7.203,/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg
Kraven the Hunter,2024-12-11,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",5.7,/i47IUSsN126K11JUzqQIOi1Mg1M.jpg
Carry-On,2024-12-05,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,6.989,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg
Armor,2024-10-30,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",5.5,/685wCHwr2kyQZxvThNIM04HuuCt.jpg
